source,topic,title,org,state,pi,activity,amount,fy,start,end,sbir_sttr,project_num,abstract
NIH RePORTER,claims denial,Medicare Advantage Today and Tomorrow,HARVARD MEDICAL SCHOOL,MA,"LANDON, BRUCE E.",P01,496757,2025,2009-08-15T00:00:00,2030-04-30T00:00:00,False,2P01AG032952-16,"REVISED PROJECT SUMMARY/ABSTRACT Enrollment in Medicare Advantage (MA), in which Medicare contracts out financial responsibility for beneficiaries’ care to private health plans, now exceeds enrollment in traditional Medicare (TM). The skyrocketing popularity of the Medicare Advantage (MA) program presents a double-edged sword for a rapidly growing senior population. While it offers them an alternative to TM through private health plans, concerns linger about how MA plans balance cost-containment practices with ensuring access to essential, high-quality services. Studies suggest practices like claim denials and limited networks, particularly concerning access to critical specialists like cardiologists and orthopedic surgeons, might restrict necessary care. This can potentially impact quality, with adverse welfare consequences for specific subpopulations. Additionally, the current diagnosis-based risk adjustment methods used to compensate plans may be susceptible to manipulation, potentially rewarding plans for focusing on less complex cases. As an agent for its beneficiaries, Medicare has two main tools for encouraging private MA plans to add value. The first is to encourage competition, both from TM and within MA. The second is direct regulation of aspects of plan design and behavior — including utilization management, provider network restrictions, risk selection, and diagnosis coding or other rent-seeking strategies — through standards, oversight, and payment system metho"
NIH RePORTER,claims denial,Medicare Advantage Today and Tomorrow,HARVARD MEDICAL SCHOOL,MA,"LANDON, BRUCE E.",P01,466645,2026,2009-08-15T00:00:00,2030-04-30T00:00:00,False,5P01AG032952-17,"REVISED PROJECT SUMMARY/ABSTRACT Enrollment in Medicare Advantage (MA), in which Medicare contracts out financial responsibility for beneficiaries’ care to private health plans, now exceeds enrollment in traditional Medicare (TM). The skyrocketing popularity of the Medicare Advantage (MA) program presents a double-edged sword for a rapidly growing senior population. While it offers them an alternative to TM through private health plans, concerns linger about how MA plans balance cost-containment practices with ensuring access to essential, high-quality services. Studies suggest practices like claim denials and limited networks, particularly concerning access to critical specialists like cardiologists and orthopedic surgeons, might restrict necessary care. This can potentially impact quality, with adverse welfare consequences for specific subpopulations. Additionally, the current diagnosis-based risk adjustment methods used to compensate plans may be susceptible to manipulation, potentially rewarding plans for focusing on less complex cases. As an agent for its beneficiaries, Medicare has two main tools for encouraging private MA plans to add value. The first is to encourage competition, both from TM and within MA. The second is direct regulation of aspects of plan design and behavior — including utilization management, provider network restrictions, risk selection, and diagnosis coding or other rent-seeking strategies — through standards, oversight, and payment system metho"
NIH RePORTER,revenue cycle,Administrative Core,H. LEE MOFFITT CANCER CTR & RES INST,FL,"SPRINGER, BRIAN ",P30,279754,2025,1998-02-18T00:00:00,2027-01-31T00:00:00,False,5P30CA076292-27,"PROJECT SUMMARY ADMINISTRATION The goal of Administration is to support the Director’s vision and strategic direction through support and infrastructure that foster innovation, drive collaboration and maximize the quality of the science of the 183 Members that comprise the five research Programs. This includes developing and operationalizing the Research Strategic Plan (RSP); fostering team science through developmental funds, planning and evaluation, and Program activities; delivering communications to all research areas; enhancing innovation through new processes and infrastructure; and providing overall management functions. During the award period, Administration was expanded with four new offices: Community Outreach & Engagement (COE); Planning & Business Operations; Research Education & Training (RET); and the Office of Scientific Development (OSD), to enhance activities in collaboration with area specific Associate Center Directors (ACDs). Administration demonstrates impact through the following Specific Aims: Aim 1: To manage strategic planning and evaluation activities including the RSP. Administration provides ongoing support of all key planning and evaluation committees and subcommittees, including support of the Research Executive Committee (REX) and the Scientific Leadership Committee (SLC). Aim 2: To foster Member and team science through developmental funds, activities, and communication. The staff manages more than $2 million in annual developmental awards"
NIH RePORTER,revenue cycle,Administrative Core,H. LEE MOFFITT CANCER CTR & RES INST,FL,"SPRINGER, BRIAN ",P30,279753,2023,1998-02-18T00:00:00,2027-01-31T00:00:00,False,5P30CA076292-25,"PROJECT SUMMARY ADMINISTRATION The goal of Administration is to support the Director’s vision and strategic direction through support and infrastructure that foster innovation, drive collaboration and maximize the quality of the science of the 183 Members that comprise the five research Programs. This includes developing and operationalizing the Research Strategic Plan (RSP); fostering team science through developmental funds, planning and evaluation, and Program activities; delivering communications to all research areas; enhancing innovation through new processes and infrastructure; and providing overall management functions. During the award period, Administration was expanded with four new offices: Community Outreach, Engagement, & Equity (COEE); Planning & Business Operations; Research Education & Training (RET); and the Office of Scientific Development (OSD), to enhance activities in collaboration with area specific Associate Center Directors (ACDs). Administration demonstrates impact through the following Specific Aims: Aim 1: To manage strategic planning and evaluation activities including the RSP. Administration provides ongoing support of all key planning and evaluation committees and subcommittees, including support of the Research Executive Committee (REX) and the Scientific Leadership Committee (SLC). Aim 2: To foster Member and team science through developmental funds, activities, and communication. The staff manages more than $2 million in annua"
NIH RePORTER,revenue cycle,Administrative Core,H. LEE MOFFITT CANCER CTR & RES INST,FL,"SPRINGER, BRIAN ",P30,279753,2026,1998-02-18T00:00:00,2027-01-31T00:00:00,False,5P30CA076292-28,"PROJECT SUMMARY ADMINISTRATION The goal of Administration is to support the Director’s vision and strategic direction through support and infrastructure that foster innovation, drive collaboration and maximize the quality of the science of the 183 Members that comprise the five research Programs. This includes developing and operationalizing the Research Strategic Plan (RSP); fostering team science through developmental funds, planning and evaluation, and Program activities; delivering communications to all research areas; enhancing innovation through new processes and infrastructure; and providing overall management functions. During the award period, Administration was expanded with four new offices: Community Outreach & Engagement (COE); Planning & Business Operations; Research Education & Training (RET); and the Office of Scientific Development (OSD), to enhance activities in collaboration with area specific Associate Center Directors (ACDs). Administration demonstrates impact through the following Specific Aims: Aim 1: To manage strategic planning and evaluation activities including the RSP. Administration provides ongoing support of all key planning and evaluation committees and subcommittees, including support of the Research Executive Committee (REX) and the Scientific Leadership Committee (SLC). Aim 2: To foster Member and team science through developmental funds, activities, and communication. The staff manages more than $2 million in annual developmental awards"
NIH RePORTER,revenue cycle,Administrative Core,H. LEE MOFFITT CANCER CTR & RES INST,FL,"SPRINGER, BRIAN ",P30,279752,2024,1998-02-18T00:00:00,2027-01-31T00:00:00,False,5P30CA076292-26,"PROJECT SUMMARY ADMINISTRATION The goal of Administration is to support the Director’s vision and strategic direction through support and infrastructure that foster innovation, drive collaboration and maximize the quality of the science of the 183 Members that comprise the five research Programs. This includes developing and operationalizing the Research Strategic Plan (RSP); fostering team science through developmental funds, planning and evaluation, and Program activities; delivering communications to all research areas; enhancing innovation through new processes and infrastructure; and providing overall management functions. During the award period, Administration was expanded with four new offices: Community Outreach, Engagement, & Equity (COEE); Planning & Business Operations; Research Education & Training (RET); and the Office of Scientific Development (OSD), to enhance activities in collaboration with area specific Associate Center Directors (ACDs). Administration demonstrates impact through the following Specific Aims: Aim 1: To manage strategic planning and evaluation activities including the RSP. Administration provides ongoing support of all key planning and evaluation committees and subcommittees, including support of the Research Executive Committee (REX) and the Scientific Leadership Committee (SLC). Aim 2: To foster Member and team science through developmental funds, activities, and communication. The staff manages more than $2 million in annua"
NIH RePORTER,prior authorization,Transplanting Lungs from Uncontrolled Donation after Circulatory Death,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"WALL, STEPHEN P",R33,2370063,2024,2022-07-08T00:00:00,2027-06-30T00:00:00,False,4R33HL156890-03,"ABSTRACT: One way to recover more lungs for the escalating numbers of patients requiring transplants is to expand the donor pool via uncontrolled donation after circulatory death (uDCD), when organs are recovered after death occurs unexpectedly inside or outside of hospitals. European countries use uDCD lungs routinely, achieving outcomes similar to those from donation after brain death. In Europe, uDCD operates within opt-out systems that allow rapid in situ lung preservation with cold perfusion via tubes inserted into the chests of the recently deceased, a practice that would require prior authorization in the U.S. Our collaborators from Toronto developed a novel uDCD protocol that preserves lungs non-invasively for just over 3 hours after death using positive end expiratory pressure (PEEP) and supplemental oxygen. In ~3 years, five patients received lungs from uDCD donors, with four patients surviving beyond 100 days. Authorization for organ donation was required before initiating lung preservation, leading to prolonged warm ischemic times (median 166 min) and discarding 64% of lungs assessed with ex vivo lung perfusion (EVLP). Our empirical data suggest authorized persons might accept having lung preservation initiated without explicit authorization when the procedures maintain body integrity, which could dramatically reduce warm ischemic times and improve transplant yield after EVLP to >50%. Before conducting a multicenter trial of our novel uDCD protocol, garnering appr"
NIH RePORTER,prior authorization,Transplanting Lungs from Uncontrolled Donation after Circulatory Death,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"WALL, STEPHEN P",R33,2344204,2025,2022-07-08T00:00:00,2027-06-30T00:00:00,False,5R33HL156890-04,"ABSTRACT: One way to recover more lungs for the escalating numbers of patients requiring transplants is to expand the donor pool via uncontrolled donation after circulatory death (uDCD), when organs are recovered after death occurs unexpectedly inside or outside of hospitals. European countries use uDCD lungs routinely, achieving outcomes similar to those from donation after brain death. In Europe, uDCD operates within opt-out systems that allow rapid in situ lung preservation with cold perfusion via tubes inserted into the chests of the recently deceased, a practice that would require prior authorization in the U.S. Our collaborators from Toronto developed a novel uDCD protocol that preserves lungs non-invasively for just over 3 hours after death using positive end expiratory pressure (PEEP) and supplemental oxygen. In ~3 years, five patients received lungs from uDCD donors, with four patients surviving beyond 100 days. Authorization for organ donation was required before initiating lung preservation, leading to prolonged warm ischemic times (median 166 min) and discarding 64% of lungs assessed with ex vivo lung perfusion (EVLP). Our empirical data suggest authorized persons might accept having lung preservation initiated without explicit authorization when the procedures maintain body integrity, which could dramatically reduce warm ischemic times and improve transplant yield after EVLP to >50%. Before conducting a multicenter trial of our novel uDCD protocol, garnering appr"
NIH RePORTER,prior authorization,Transplanting Lungs from Uncontrolled Donation after Circulatory Death,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"WALL, STEPHEN P",R33,2235641,2026,2022-07-08T00:00:00,2027-06-30T00:00:00,False,5R33HL156890-05,"ABSTRACT: One way to recover more lungs for the escalating numbers of patients requiring transplants is to expand the donor pool via uncontrolled donation after circulatory death (uDCD), when organs are recovered after death occurs unexpectedly inside or outside of hospitals. European countries use uDCD lungs routinely, achieving outcomes similar to those from donation after brain death. In Europe, uDCD operates within opt-out systems that allow rapid in situ lung preservation with cold perfusion via tubes inserted into the chests of the recently deceased, a practice that would require prior authorization in the U.S. Our collaborators from Toronto developed a novel uDCD protocol that preserves lungs non-invasively for just over 3 hours after death using positive end expiratory pressure (PEEP) and supplemental oxygen. In ~3 years, five patients received lungs from uDCD donors, with four patients surviving beyond 100 days. Authorization for organ donation was required before initiating lung preservation, leading to prolonged warm ischemic times (median 166 min) and discarding 64% of lungs assessed with ex vivo lung perfusion (EVLP). Our empirical data suggest authorized persons might accept having lung preservation initiated without explicit authorization when the procedures maintain body integrity, which could dramatically reduce warm ischemic times and improve transplant yield after EVLP to >50%. Before conducting a multicenter trial of our novel uDCD protocol, garnering appr"
NIH RePORTER,prior authorization,Medicare Advantage and Transplant Access among Rural and Socially Vulnerable Communities,INDIANA UNIVERSITY INDIANAPOLIS,IN,"WILK, ADAM STEVEN",R01,833155,2026,2026-09-01T00:00:00,2031-05-31T00:00:00,False,1R01MD021301-01A1,"End stage kidney disease (ESKD) affects >850,000 people in the US. Kidney transplantation improves survival and quality of life compared to dialysis, yet only 13.6% of incident dialysis patients were waitlisted or transplanted within one year. Our team’s leading studies have revealed persistent gaps in early transplant care steps—referral, evaluation, and waitlisting—tied to socioeconomic circumstance and geography; our findings have guided interventions that support patients and provider organizations working together to progress toward transplant. Traditional Medicare (TM) has long been the primary insurer for patients with ESKD. After the 21st Century Cures Act (Jan. 2021) newly allowed all patients with ESKD to enroll in commercial Medicare Advantage (MA) plans, MA penetration rose from 25% in 2020 to 43% by December 2022. Enrollment has grown especially quickly among low-income dual Medicare-Medicaid enrollees and in rural areas. Compared to TM, MA plans can offer additional benefits (e.g., transportation, dental), but also employ cost-control tools (e.g., prior authorization, restricted provider networks) that may impede timely transplant referral and required specialty evaluations. Our prior work shows MA enrollees experience 18-24% lower transplant waitlisting rates than TM beneficiaries, yet how MA affects earlier transplant care steps—referral and evaluation—is poorly understood. Addressing this knowledge gap is essential to guide strategies that promote timely prog"
